Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:57:08,0.96,153.39,1.11,1536.80,1474.00
2024-07-19 22:57:08,0.96,153.51,1.11,1535.30,1474.00
2024-07-19 22:57:08,0.96,153.36,1.11,1535.20,1474.00
2024-07-19 22:57:08,0.96,153.68,1.12,1533.40,1472.00
2024-07-19 22:57:08,0.96,153.35,1.11,1536.00,1474.00
2024-07-19 22:57:08,0.96,153.35,1.12,1535.30,1482.00
2024-07-19 22:57:08,0.96,153.56,1.11,1535.40,1474.00
2024-07-19 22:57:08,0.96,153.36,1.12,1535.00,1474.00
2024-07-19 22:57:09,0.96,153.35,1.11,1535.90,1482.00
2024-07-19 22:57:09,0.96,153.36,1.11,1535.90,1472.00
2024-07-19 22:57:09,0.96,153.37,1.12,1533.40,1472.00
2024-07-19 22:57:09,0.96,153.54,1.12,1533.80,1482.00
2024-07-19 22:57:09,0.96,153.37,1.11,1533.80,1472.00
2024-07-19 22:57:09,0.96,153.36,1.12,1537.30,1474.00
2024-07-19 22:57:09,0.96,153.34,1.11,1536.10,1472.00
2024-07-19 22:57:09,0.96,153.34,1.11,1534.50,1468.00
2024-07-19 22:57:09,0.96,153.56,1.11,1533.00,1468.00
2024-07-19 22:57:09,0.96,153.34,1.11,1534.20,1472.00
2024-07-19 22:57:09,0.96,153.56,1.11,1535.30,1474.00
2024-07-19 22:57:09,0.96,153.57,1.12,1534.80,1482.00
2024-07-19 22:57:09,0.96,153.49,1.12,1534.70,1468.00
2024-07-19 22:57:09,0.96,153.38,1.11,1533.90,1472.00
2024-07-19 22:57:10,0.96,153.55,1.11,1534.20,1472.00
2024-07-19 22:57:10,0.96,153.35,1.12,1536.80,1474.00
2024-07-19 22:57:10,0.96,153.34,1.11,1535.10,1474.00
2024-07-19 22:57:10,0.96,153.55,1.12,1535.90,1472.00
2024-07-19 22:57:10,0.96,153.37,1.11,1535.30,1474.00
2024-07-19 22:57:10,0.96,153.35,1.11,1534.10,1478.00
2024-07-19 22:57:10,0.96,153.51,1.11,1535.20,1474.00
2024-07-19 22:57:10,0.96,153.34,1.11,1535.00,1474.00
2024-07-19 22:57:10,0.96,153.38,1.12,1535.80,1474.00
2024-07-19 22:57:10,0.96,153.33,1.11,1536.60,1474.00
2024-07-19 22:57:10,0.96,153.37,1.11,1533.80,1474.00
2024-07-19 22:57:10,0.96,153.33,1.11,1534.00,1474.00
2024-07-19 22:57:10,0.96,153.34,1.11,1536.20,1474.00
2024-07-19 22:57:11,0.96,153.59,1.11,1535.60,1482.00
2024-07-19 22:57:11,0.96,153.34,1.11,1534.20,1472.00
2024-07-19 22:57:11,0.96,153.34,1.11,1535.10,1474.00
2024-07-19 22:57:11,0.96,153.33,1.11,1537.40,1474.00
2024-07-19 22:57:11,0.96,153.36,1.11,1533.40,1474.00
2024-07-19 22:57:11,0.96,153.35,1.12,1535.60,1474.00
2024-07-19 22:57:11,0.96,153.48,1.11,1534.70,1472.00
2024-07-19 22:57:11,0.96,153.35,1.11,1534.80,1474.00
2024-07-19 22:57:11,0.96,153.34,1.12,1536.30,1474.00
2024-07-19 22:57:11,0.96,153.36,1.12,1537.20,1474.00
